name,ratings,date,helpful,comment,developer_comment
케이씨엠KCM,1,2020-10-01,9,"핸드폰 분실후 새로 다운 받아서 로그인 하려고 하는데 아이디, 비밀번호 찾기를 하여 이용하려고 해도 인증번호가 안옵니다. 당연히 로그인 못하고 있구요. 이전에 찜해놓은 목록들이 있어서 새로 아이디를 만들고싶지 않고 굳이 여러개에 아이디를 쓸 이유가 없는데 어서 개선해주세요",
공경,5,2020-09-26,98,고맙습니다 저는 청정비데를 한번 검색란에 썼던거 같은데 한참이 지나서도 찾았다고 연락을 해오고 ㆍ 삼성카드 한번 거래했더니 쉽게도 거래가 이루어지다니 ㆍ 등등 고맙게 잘 이용합니다 신용의 쿠팡 번창하소서 고맙습니다,
RICHARD PD,3,2020-10-01,10,버그인지 모르겠는데 창고할인 탭에서 가전이든 식품이든 클릭해도 넘어가지않습니다. PC도 똑같던데,
오수민,3,2020-09-30,31,사이트는 만족한데 어플을 키지 않고 다른 어플로 놀다가 납치를 당함. 그것빼고는 만족. 개인적으로 로고 바꿀 생각 없나요?,
김동준,1,2020-09-25,84,기존 쿠팡 아이디로 로그인을 하려 하는데 인증번호 발송 버튼이 안눌리는 버그가 잇습니다. 사려던거 다 취소하고 모바일 웹으로 가서 다시 구매햇네요.,
JongYeop Kim,2,2020-07-13,993,앱 사용중 버그 있습니다. 다른 앱을 사용하다가 해당 앱을 키면 백그라운드목록에 뜨지 않지만 앱은 계속 돌아가서 메모리를 계속 먹다가 폰이 꺼집니다. 3주간 타 앱 사용없이 시계용도로 사용하고 충전만 해 주었는데 휴대폰이 발열상태에 있다가 자동으로 꺼졌습니다.,
지혜,5,2020-09-27,27,이폰으로 보고 어머니폰으로 결제하는데!근데 구글기프트카드 같은건 없네여ㅜㅜ 근데 짱죠아여!!!,
강선주,3,2020-07-16,804,"만족했던 것들도 많았지만~ 특히 의류에서는 치수,박음질, 여러가지로 상세하게 정직하게 해줬음 좋겠어요~ 옷받아봄 삐뚤빼뚤 박음질에 사이즈보다 너무 작거나 크게나오고 실패본 옷이 한두벌이 아니예요~ 입지도못하고 짱박아두다 쓰레기통간옷만 수십벌~~ 의류좀 정직하게 팔게해주세요",
마동석,3,2020-09-25,50,아니 왜 자꾸 잠금화면 됬다 풀면 자동으로 실행되어 있나요? 계속 그러네,
Cho Do,5,2020-09-30,7,대부분 필요한 제품들이 참좋습니다. 배송도 파손없이 빠른시일에 도착하구요 너무너무 좋아요,
박윤미,3,2020-09-29,3,너무 잘 되고 좋지만 배달 해주시고 받을 때 조금 막 터져 있고 그래 가지고 별 세 개 드립니다,
꽃지달이,1,2020-09-27,1,제가 무엇을쌌는데 로그인때문에로그인하다가 초기화해서 디취소하고 네이버로 했어요ㅠㅠㅠㅠ,
HYUNSUK825 LEE,5,2020-10-01,0,빠른배송ㆍ짱 기사님들 화이팅!! 감사해요,
차승민,5,2020-07-29,135,물건 고르기가 좋아요.로켓배송도요. 대단할 따름입니다. 세일상품을 다들 잘 찾던데 왜 나만 못찾는지 모르겠네요. 창고에서 싸게 파는거 잘 사고는 있습니다.,
김홍태,5,2020-09-03,21,좋은♡제품을 저렴하게♡편안하고 감사하는 마음으로♡신속 정확하게 잘 이용 하고 있습니다.♡☆,
정미숙,1,2020-07-14,131,내가 하고픈말 아래 사용자 작성하셨네. 준문관련 확인하려고 잠간 나갔는데 화면 초기화되서 필수사항 여러번 적게하고 정말 별로임. 선물주문자 원하는것이 지마겟에 있었음 쿠팡서 안샀음.,
에,4,2020-09-26,2,진짜 다 좋은데ㅠㅠ 주문을 할려고 카드 결제를 누르면 왜 기업은행은 없는거죠.....??ㅠㅠㅠㅠ,
강정권,1,2020-09-27,0,한번 등록해 쓰면 되지 자기 전화기로 사는데 왜 물건 구매마다 비번을 넣어야 하는지 그 불편함을 당신들이 아닙니까 정말 잘못된 겁니다,
