name,ratings,date,title,comment
잌셩,5,2018-05-13,행복한 앱이에요 ㅎㅎㅎ스크랩기능 만들어주세요!,친구가 추천해서 깔았는데 완전 좋네요 판매자랑 상품 별로 즐겨찾기? 관심상품 설정 같은 거 할 수 있으면 좋겠어요~! 있는데 제가 아직 못 찾은 걸 수도요^^;
룰루랄라라랄라라라라,5,2018-01-20,넘넘 좋아요!!,심심할때마다 툭하면 들어가서 보게되는 마켓컬리에요❤️ 샛별배송 진짜 최고최고!! 다음에 혹시 추가가 가능하다면 피씨 홈페이지에서는 보이는 자주 이용하는 식품 즐겨찾기 기능 추가되면 좋겠어요~! 매번 검색하거나 지난번 주문 목록에 들어가서 봐야돼요 ㅠㅠ
Aroh001,5,2018-02-01,마켓컬리 💕,넘 좋아요. 앞으로도 더 다양한 좋은 식재료와 디저트 류 부탁해요 :-) 샛별 배송 진짜 얼마나 고생하시는 걸까 싶어서 맘이 무거우면서도 너무 편리해서 또 좋고 그런 오묘한 맘 흐- 근데 어플에서 위시리스트 좀 있었음 좋겠어요ㅠㅠ 이번엔 안 사지만 다음에 사야겠다 하고 찜해두고픈 제품들이 있는데 어디 메모해가며 쇼핑해야 할 판 ㅜㅜ
119불러줘,1,2021-03-14,"노동자보다 자신들이 우월하다고 느끼는 마켓컬리 위원, 불매합니다.",이번 블랙리스트와 관련하여 마켓컬리에서 없으면 안되는 노동자들의 인권을 존중하지 않고 오직 이익만을 바라보는 기업.
lyni2,1,2021-03-15,아쉽지만 삭제,"서비스는 좋지만, 블랙리스트 작성이라는 명백한 근로기준법을 위반한 반노동 기업이기에 편한 마음으로 쓸 수가 없네요. 그동안 잘 썼습니다."
another Jay Lee,1,2021-03-12,블랙리스트 작성하는 범죄기업 앱 삭제합니다.,"노동자 개인정보만 유출했을까요? 소비자, 고객 정보도 블랙리스트 만들어서 돌린 게 아닌지 수사해야 합니다."
lambloc1,5,2018-02-14,마켓컬리하세요!,"오후 11시 안에 주문하면 다음날 7시 전에 집 앞에 도착하는 마켓, 컬리. 2년 가까이 이용중인데 어느덧  식자재 마트 이용 거의 안 하고 컬리에 의존하게 됐네요. 고급스러운 식재료부터 파 한 단까지, 요즘은 아이들 장난감이며 기저귀, 물티슈 등 그 카테고리 범위도 확 늘어서 애용하는 재미까지 더해졌어요. 요즘 인기가 많아져 그런지 7시를 조금 넘길 때가 두어번 있긴 했어요. 인력확충으로 다시금 안정적인 서비스가 가능해지길 바랍니다. ^^"
akwifnmerkid,1,2021-03-11,1점도 아깝네요,노동자 블랙리스트 만들어 운영하는 기업 불매합니다.
박철현,1,2021-03-10,노동자에게 제대로된 임금 지급,마켓컬리 노동자에게 제대로 된 임금 지급을 할 때 까지 마켓컬리앱을 이용하지 않겠습니다.
연남이와술빵이,1,2021-03-13,일용직 블랙리스트 만들지 마세요.,일용직 노동자 사용하면서 블랙리스트 만들지 마세요.
ㅇㅇㅇㄴㅁㄴㅌㅌ,5,2021-04-09,정말 편하고 좋아요,"마켓컬리는 이제 저한테 없어서는 안 될 장보기 앱이 되어버렸어요. 비싼 가격의 음식도 많지만, 정말 퀄리티가 너무 좋고 신선해요. 가끔 양파같은 거는 신선도가 조금 떨어지는 게 오긴 했었지만 가끔이라서 이제는 믿고 주문하는 마켓컬리가 되었어요"
졍졍222,5,2018-11-15,제발 위시리스트 만들어주세요,너무너무 잘 쓰고 있습니다! 이른 아침에 일어나는 게 힘들었는데 문 앞에 와 있을 보라색 마켓컬리상자 생각에 요즘은 눈이 잘 떠지네요 ㅎㅎ 근데 제발 위시리스트 좀 만들어주세요 엉엉 요즘세상에 위시리스트 없는 쇼핑앱이라니요 말도 안돼요 개발자님 지금 개발중이신거라고 믿고 업데이트 기다릴게요💕💕
int1488,5,2021-04-10,늘 잘쓰고 있어요.,모델이 박서준이라니.....!!!!!!! 앱 켤때 로딩 시간 길어지는거 대찬성입니다 ㅋㅋㅋㅋㅋㅋ
언제쯤 ...,2,2021-04-09,샛별배송은 도대체 언제 되는건지...,샛별배송으로 출근전에 받기위해서 시키기 시작했는데 7시전은 커녕 10시 이후에 오는 경우가 태반이며 심하면 오후 1시2시에 오는경우도 너무 많네여 점심시간에 집와서 밥먹고 다시 나가야는데 매번 배송이 안와있어서 너무 불편하네요 솔직히 마켓컬리 샛별배송으로도 유명한거 아니었나요?̊̈ 저는 그걸 가장 큰 비중으로 두고 시키는데 의미가 없어졌네요. 음식은 시키면 만족은 합니다.
GenttleMan,5,2018-06-01,굳,"제품의 질이 정말 좋은 것 같고, 배송은 애플 공식스토어에서 살 때보다 더 빠르네요(물론 홍콩에서 오는거여서 그렇지만). 더 활성화되고, 오프라인 매장까지 들어서서 기존 유통/매장 업체 다 박살내주세요!"
비에비에,5,2018-02-01,쿠폰 자동화시켜주세요,가끔 문자로 쿠폰발급안내가 오는데 자동로그인되어있으면 자동으로 안들어오더라구요.
