name,ratings,date,title,comment
,5,2020-02-16,그간의 마켓컬리를 이용하며,"전 아주 만족합니다. 우선 요즘은 빠르고 간편하고 다양한 음식을 접하려고 하잖아요. 외식은 질리고 또 세식구가 늘 나가서 먹기엔 비용도 만만치 않은터라 식비에 대한 고민이 많았어요. 마켓컬리 이후엔 다양한 음식을, 간편하게 즐길 수 있어서 전 너무 만족하고 있어요. 경기가 어려우니 주춤 할 수도 있겠지만 질좋고 가격도 적정한 제품과 음식들..  많이 소개해 주세요. 늘 새로움을 접하고 있어서 은근히 마트 구경하듯이 찾아 보고 있답니다."
,5,2020-07-02,포장이 너무 좋아요,먼저 아이스팩을 사용하지 않고 바로 버릴 수 있는 냉각을 사용하는 것과 종이 테이프를 사용하는 것이 너무 좋아요
,5,2020-05-26,신세계 살아요!!,매일 광고만 보다가 지방은 안되겠지..했어요.
,5,2018-05-13,행복한 앱이에요 ㅎㅎㅎ스크랩기능 만들어주세요!,친구가 추천해서 깔았는데 완전 좋네요 판매자랑 상품 별로 즐겨찾기? 관심상품 설정 같은 거 할 수 있으면 좋겠어요~! 있는데 제가 아직 못 찾은 걸 수도요^^;
,2,2020-09-22,갈수록 실망,배송 누락이 너무 많이 발생합니다
,5,2018-01-20,넘넘 좋아요!!,심심할때마다 툭하면 들어가서 보게되는 마켓컬리에요❤️ 샛별배송 진짜 최고최고!! 다음에 혹시 추가가 가능하다면 피씨 홈페이지에서는 보이는 자주 이용하는 식품 즐겨찾기 기능 추가되면 좋겠어요~! 매번 검색하거나 지난번 주문 목록에 들어가서 봐야돼요 ㅠㅠ
,5,2020-08-10,찜하기 기능 넣어주세요,오늘 구매는 안하더라도 다음번 구매를 위해 상품 페이지에 찜하기 버튼? 같은 기능을 만들어주세요.
,1,2020-05-21,이틀째 배송지연에 처리도 제대로 안해줍니다,5월 19일 물건 주문했는데 20일 오전에 배송 완료라고 뜨고 물건을 못받아서 문의했더니 4시에나 전화가 와서 재배송해준다고 하더니 21일 또 안왔습니다.
,5,2018-02-01,마켓컬리 💕,넘 좋아요. 앞으로도 더 다양한 좋은 식재료와 디저트 류 부탁해요 :-) 샛별 배송 진짜 얼마나 고생하시는 걸까 싶어서 맘이 무거우면서도 너무 편리해서 또 좋고 그런 오묘한 맘 흐- 근데 어플에서 위시리스트 좀 있었음 좋겠어요ㅠㅠ 이번엔 안 사지만 다음에 사야겠다 하고 찜해두고픈 제품들이 있는데 어디 메모해가며 쇼핑해야 할 판 ㅜㅜ
,1,2021-03-14,"노동자보다 자신들이 우월하다고 느끼는 마켓컬리 위원, 불매합니다.",이번 블랙리스트와 관련하여 마켓컬리에서 없으면 안되는 노동자들의 인권을 존중하지 않고 오직 이익만을 바라보는 기업.
,5,2020-07-06,어플이 작동이 안되고 꺼져요,폰을 껏다켜도 계속 그러고 업데이트도 했는데 왜 그러는지 ㅠㅠ....
,5,2020-03-20,아이패드 버전,안녕하세요 마켓컬리를 3년 이상 사용하면서 너무 만족하고 있는 사용자입니다! 간편하고 배송도 빨라서 너무 좋은데 한가지 아쉬운 점이 있어요! 제가 보통 아이패드를 가로로 놓고 키보드와 함께 사용을 하는데 아이패드 버전은 가로 버전이 지원이 안되서 보기가 불편하네요ㅜㅠ 이점 개선해 주셨으면 좋겠습니다!
,1,2019-09-22,왜 주문접수조차 안 되는 시간이 있나요?,첫 회원가입 해서 중앙닭강정에 갈비 추가해서 구매하려고 하니까 택배사의 사정으로 주문접수조차 막아뒀더라고요. 아니... 주문은 해두고 택배사가 다시 일하면 그 주문을 차례대로 넣어주면 되는거 아닌가요?
,2,2020-09-14,"상품은 좋지만,, 고객센터는 개선이 필요해보임","상품은 신선하고 좋습니다. 다만 고객센터는 문의를 해도 불통이더니, 6일 이후에 “무엇을 도와드릴까요.?” 이렇게 답변이 오네요 ㅎㅎ 고객센터는 정말 정말 정말 개선이 필요합니다."
,5,2020-09-04,마켓컬리 배송품질너무 만족해요,쿠x 은 로켓배송이니 쿠x와우 니 하면서 박스찢긴건 물론이고 주문한제품까지 항상 훼손되어와서 매번 환불조치하느라 심기가 너무 불편했는데 마켓컬리는 진짜 안에내용물 하나하나 신경써서 배송되어오는게 너무 감동스러워요 앞으로 마켓컬리만 이용할겁니다 안전하고 만족감있는 배송에 구매자로써 너무 감사합니다
,1,2020-09-10,고객 응대 최악,"편의성과 좋은 상품으로 처음엔 만족했는데 갈수록 최악이에요. 컬리 온리 말고는 쿠팡에도 파는 제품들(심지어 쿠팡이 더 쌈) 상품 누락까지는 이해한다해도,3일 이상 문의도 안되고 연락 두절.. 뭐하는 건지. 신뢰도 바닥이에요."
,1,2021-03-15,아쉽지만 삭제,"서비스는 좋지만, 블랙리스트 작성이라는 명백한 근로기준법을 위반한 반노동 기업이기에 편한 마음으로 쓸 수가 없네요. 그동안 잘 썼습니다."
,1,2021-03-12,블랙리스트 작성하는 범죄기업 앱 삭제합니다.,"노동자 개인정보만 유출했을까요? 소비자, 고객 정보도 블랙리스트 만들어서 돌린 게 아닌지 수사해야 합니다."
,5,2020-04-27,후기 쓸려고 앱까지 다운 받았네요,신규가입 이벤트 괜찮은거 같아서 가입했는데
,5,2020-03-28,아침의 선물,제시간에 현관앞에 놓인 마켓컬리 상품에 대단히 만족하고있습니다. 특히 친환경적인 아이스팩은 감동이었습니다.  단지 과도한 박스에 굉장히 미안할때가 있는것은 사실이지만 팩킹할때 어쩔수없다는 점이 무척 안타깝네요. 암튼 지난 한달동안은 새로운 아침 세계를 만납습니다. 감사합니다^_^
,5,2018-02-14,마켓컬리하세요!,"오후 11시 안에 주문하면 다음날 7시 전에 집 앞에 도착하는 마켓, 컬리. 2년 가까이 이용중인데 어느덧  식자재 마트 이용 거의 안 하고 컬리에 의존하게 됐네요. 고급스러운 식재료부터 파 한 단까지, 요즘은 아이들 장난감이며 기저귀, 물티슈 등 그 카테고리 범위도 확 늘어서 애용하는 재미까지 더해졌어요. 요즘 인기가 많아져 그런지 7시를 조금 넘길 때가 두어번 있긴 했어요. 인력확충으로 다시금 안정적인 서비스가 가능해지길 바랍니다. ^^"
,5,2019-02-14,어제처음이용해보았는데,좋네요ㅎㅎ
,5,2019-05-02,ㅋㅋㅇ페이 왜안하세요..?,결제수단에 ㅋㅋㅇ페이가 없네용.. 초큼 당황했어요 요즘 ㅋㅋㅇ페이 안되는 곳이 있었다니..! 무조건 해야하는 건 아니지만 워낙 편해서 ㅋㅋㅇ페이 애용한지 오래돼서 온라인상에서는 다른 결제수단은 사용안하는데 오랜만에 카드결제로 복잡한 절차를 거쳐 주문했어요 ㅋㅋㅋㅋ 워낙 독특한 제품들이 많아서 마켓컬리 애용할것같지만 할때마다 평소보다 긴 결제 절차에 짜증날것같아요...
,1,2020-09-25,배송관리가 엉망,배송관련 요청사항을 항상 안지켜줌...특별한거 살 꺼 아니면 그냥 쿠팡에서 시키세요. 그게 훨씬 편합니다
,5,2020-01-13,아이디 비번 잊어버리면 절대 이용하지 못함......,불편한 점 안내드릴게요.
,1,2021-03-11,1점도 아깝네요,노동자 블랙리스트 만들어 운영하는 기업 불매합니다.
,1,2021-03-10,노동자에게 제대로된 임금 지급,마켓컬리 노동자에게 제대로 된 임금 지급을 할 때 까지 마켓컬리앱을 이용하지 않겠습니다.
,5,2020-12-16,마켓컬리 :),"처음엔 수입 제품 좋아하는 분들 인스타용 먹거리라고 생각했지만, 나름 맛있는 브랜드의 먹거리를 집에서 쉽게 먹을 수 있고, 이마트나 대형마트보다 비쌀 거라는 편견을 없애줬어요. 가격비교해보니 더 싼 상품들도 많았음. 그리고 일단 배송!!!! 다음날 바로 먹을 수 있다는 기대감이 너무너무 좋습니다. 부지런한 사람이라면 미리발품팔아서 집에 들어오기 전 퇴근길에 장봐서 왔을텐데 그래도 시간낭비ㅠ 자기 전 내일 아침 먹고 싶은 것을 주문해서 내일 바로 먹을 수 있다는게 이 시대를 살아가고 있으면서도 계속 놀라는 중 ㅎㅎㅎ 좋은 세상이지요 ㅎㅎ아침 7시가 되기도 전에 문 앞에 갖다 놓고 가십니다:) 감사합니다"
,1,2021-03-13,일용직 블랙리스트 만들지 마세요.,일용직 노동자 사용하면서 블랙리스트 만들지 마세요.
,1,2020-02-07,솔직한 평가,경기도 오산에 거주합니다. 광고는 무슨 쿠팡처럼 다 오전7시까지 배송해줄 것처럼 하고 샛별배송지역 아니라고 일반택배로 보내고 그럼 언제 오는지는 알아야 되는데 어플에서 배송추적도 안되고 다른 데서 사는 것보다 싼 것도 아니고 그냥 정가 정도인데 그걸 샛별배송인지 뭔지로 만들어서 브랜드화를 했으면 확대를 해야지 그 자리에 멈춰있눈 느낌...
,5,2021-02-08,컬리배송,새벽 배송과 꼼꼼함은 늘 감동입니다.
,5,2021-02-14,궁금한 게 있어요,마켓컬리 인사이트라는 책을 보고 궁금해서 깔았는데요
,5,2020-03-28,만족 만족,제가 만족하는 여러가지
