date,comment,ratings,ko_text,nouns,y
2021-03-10,긋긋긋 아주좋아여,5,긋긋긋 아주좋아여,['긋긋긋'],1
2021-03-10,좋네요,5,좋네요,[],1
2021-03-10,정확한 시간에 배달되어 만족합니다.,4,정확한 시간에 배달되어 만족합니다,"['정확', '배달', '만족']",1
2021-03-10,좋아요,5,좋아요,[],1
2021-03-10,좋아영,5,좋아영,[],1
2021-03-10,좋아요 만족합니다,4,좋아요 만족합니다,['만족'],1
2021-03-10,좋아요,5,좋아요,[],1
2021-03-10,좋아요~~^^,5,좋아요,[],1
2021-03-10,너무 좋습니다ㆍ다양한상품,5,너무 좋습니다다양한상품,"['다양', '상품']",1
2021-03-10,후기보기 너무 불편해요. 3월 1일 후기보고 뒤로가기 누르면 3월 10일로 리스트가 확 올라가 있어요. 옛날 후기 보기 편하게 해주세요~!!,2,후기보기 너무 불편해요 월 일 후기보고 뒤로가기 누르면 월 일로 리스트가 확 올라가 있어요 옛날 후기 보기 편하게 해주세요,"['후기보기', '기보기', '불편', '후기', '후기보고', '보고', '가기', '일로', '리스트', '있어요', '옛날']",0
2021-03-10,만족합니다,5,만족합니다,['만족'],1
2021-03-10,간편해서 좋아요,5,간편해서 좋아요,['간편'],1
2021-03-10,신선한 제품을 빠른 배송과 가격도 만족할수 있어 좋아요.,5,신선한 제품을 빠른 배송과 가격도 만족할수 있어 좋아요,"['제품', '배송', '가격', '만족']",1
2021-03-10,간혹 잘 쓰고 있습니다! 회사는 빨리 망했으면 해요 ㅋㅋ,1,간혹 잘 쓰고 있습니다 회사는 빨리 망했으면 해요 ㅋㅋ,['회사'],0
2021-03-10,최악이네요^^,1,최악이네요,['최악'],0
2021-03-10,상품의 질이 다른 오픈마켓 보다 좋네요~퀄리티가 달라요 특히 음식 시켜보니 믿음이 가네요,5,상품의 질이 다른 오픈마켓 보다 좋네요퀄리티가 달라요 특히 음식 시켜보니 믿음이 가네요,"['상품', '오픈', '오픈마켓', '마켓', '퀄리티', '음식', '믿음']",1
