name,ratings,date,helpful,comment,developer_comment
HONG Hye-ryeon,1,2020-06-11,121,"앱 업데이트하고 구매하러 들어왔다가, 비정규직으로 일하시는 분들 홀대하고, 사고생길 수 있는 여지가 충분한 환경인데 제대로 가이드도 안해 사고났던 기억이 나서 후기 남깁니다. 수익성만 생각하고 회사 운영하지 말고 사람을 더 생각하길 바랍니다. 그래야 오래갑니다.",
유향단,1,2020-05-29,810,자주사용햇는데 당분간 사용하지 않을려구요 .부천 물류센터에서 관리직들에게 너무 실망 스럽네요 .자기뻘되는 어른들에게 막대하고 소리치고 너무 버르장머리 없는거같네요 .참 실망스럽습니다 . 쿠팡와우 로켓배송도 해지 햇습니다 . 쿠팡뿐만 아니라 부분회사 다 그런사람 잇을뜻..정말 실망입니다 . 사람보다 돈이 더 중요하다니 . 로동자들을 막 대하지 마세요 .그중에 당신의 부모님도 계실듯합니다 .당신들의 부모님한테 그렇게 하실수 잇습니까? 코로나 진정될때까지 이젠 쿠팡 빠잇,
늑대는여우좋아한데,3,2020-05-27,301,정말좋습니다 근데 옜날에비해 가격이 오르네요 다른 홈쇼핑보다 싼편이었는데 이제는 거기서 거기네요~찿는거 거의다 나오는거같아요^^ 그리고 후기도 보니깐 안좋은후기들은 은근 공감가는부분이 많이있더라고요~^^,
Sungwook Lee,3,2020-06-14,3,필터에 품절제외 좀 넣어주세요. 무슨 물건이 죄다 품절인데 파는물건 찾기가 어렵네요.,
kyung-sang Yu,1,2020-06-11,21,이거 설치하면 다른쪽 무단 광고로 이 어플이 뜨게되는 경우가 많고 로켓와우 멤버십 해지나 후기 보려면 어쩔수없이 설치하게 해놔서 설치는 하지만 좀 어처구니없고 짜증남 특히 광고 미동의말고 무단광고,
코다다,1,2020-05-30,238,장난하나요? 로그인 전에 상품 볼땐 오늘 도착이라고 그러더니 로그인하고 물건 사려니까 갑자기 3일 후에 도착이라고 하네요;;; 제가 잘못본건가 싶어서 다시 로그아웃하고 확인해보니 또 오늘 도착한다고 돼있습니다. 누구 놀리나요? 당일 배송이라고 사람 낚아서 물건 더 팔아보려는 속셈인가요? 다시는 안 씁니다,
ᄋᄋᄋ,2,2020-06-15,0,"상품명 작성하라고 계속 팝업이 떠서, 한 번 작성해볼까하고 들어갔더니 계속 일시적으로 연결 문제가 있다고 하니 좀 짜증나네요. 최근 로켓 배송도 상품 파손되어 온 게 꽤 있고... 다 급하게 쓸 거라 반품하지도 못하고 좀 그랬습니다.",
jiyeun han,4,2020-05-30,70,품절이 너무 많은데 품절 제외하고 보는 기능이 없네요;;; 탭 하나만 추가해주시면 좋을 것 같아여.. 친구들도 다들 너무 불편하데요,
성이름,5,2020-06-06,47,쿠팡 정말 좋습니다. 하지만 추가되었으면 하는게 있는데요.. 장바구니 용량 늘려주시면 안될까요? 70개 제한이라 다른거 넣을때마다 고민하고 지우고 넣고 맨날 반복이라 좀 그렇네요.. 장바구니 큰 용량 원하는 사람은 분할 다운로드를 해서 용량을 늘려주시거나 했으면 좋겠습니당,
솔이,1,2020-06-02,57,어플 켜지도않았는데 혼자서 열리거나 이미 열려서 실행되고있고 이게 한두번도 아니고 몇 수십번째 참다참다 못참고 리뷰남깁니다 오류인가요? 해결부탁드립니다.,
어리두리,4,2020-05-20,124,쿠팡이라 진품만 파는게 아니네요... 짝퉁이라는 설명도 없고... 진짜 메이커인줄알고 구매를 했는데 레플이라네요... 명품을 좋아하지도 않고 사서 쓰지도 않아서 잘몰랐는데 선물할려고 사고나서 알아보니까... 짝퉁이네요... ㅠ,
김태연,1,2020-06-01,39,원래 이앱 엄청 좋다😍 했는데 이번에 엄청 실망이네요 당분간쓰지 않아야 겠어요.... 다른 쇼핑앱을 써야 겠네요...... 참 좋았는데... 충격이고 믿음이 깨지네요.......,
O mines213,1,2020-06-02,19,배송비 내고 살려는데 갑자기 요금 채우거나 정기결제 해야되는식으로 바뀌었네요;; 여태까지 잘 써왔는데 이렇게 되니까 살려던 거도 못 사고 이제 다른 업체로 가보렵니다,
훈제연어,5,2020-05-29,62,광고메일과 수신동의와 관계없이 구매내역 메일이 오는데 앱에서 처리도 안되고 고객센터에서도 메일수신거부로 보여져서 해줄것이 없답니다 좀 고쳐줘요,
Sungyoon Jung,5,2020-06-07,57,다른곳보다 저렴하게 판매하는것이 많아서 좋아요. 특히 로켓배송은 대부분 가격이 착해서 자주이용해요. 다른온라인 사이트보다 훨씬 저렴하고 배송이 빨라서 너무 좋아요.,
Stēlla,5,2020-06-14,0,찜 상품을 제가 카테고리별로 폴더에 구분할 수 있게 해주셨음 좋겠어요. 폴더와 폴더 내의 상품 순도 제 마음대로 배열 가능하도록요.,
리아,1,2020-06-10,24,처음엔 가격 제한 없이 구매할 수 있어서 좋았는데 왜 지금은 19800원 안 채우면 못 사네요???? 이게 뭡니까?? 간단한거 하나 사려고 정기결제하라는 건가요?? 어이가 없네요. 딴 쇼핑몰 앱 사용해야겠어요.,
우씨이것저것하는,1,2020-06-10,5,업데이트를 해도 ㅡㅡ 물건하나사다 에러가 걸리니 답답하네요 클릭해서들어가면 거기서 화면이 멈추고 아무것도 클릭이되지않고 꺼짐ㅡㅡ 수차례반복 ㅜㅜ,
